
5, 0
10, 0
15, 0
20, 0
25, 0
30, 0
35, 0
40, 0
45, 0
50, 0
55, 0
60, 0
65, 0
70, 0
75, 0
80, 0
85, 0
90, 0
95, 0
100, 0
105, 0
110, 0
115, 0
120, 0
125, 0
130, 0
135, 0
140, 0
145, 0
150, 0
155, 0
160, 0
165, 0
170, 0
175, 0
180, 0
185, 0
190, 0
195, 0
200, 0
205, 0
210, 0
215, 0
220, 1
225, 0
230, 0
235, 0
240, 0
245, 0
250, 0
255, 0
260, 0
265, 0
270, 0
275, 0
280, 0
285, 0
290, 0
295, 0
300, 0
305, 0
310, 1
315, 1
320, 1
325, 1
330, 1
335, 1
340, 1
345, 1
350, 1
355, 1
360, 1
365, 1
370, 1
375, 2
380, 1
385, 1
390, 1
395, 2
400, 2
405, 2
410, 2
415, 2
420, 2
425, 2
430, 2
435, 2
440, 3
445, 2
450, 2
455, 3
460, 3
465, 3
470, 3
475, 3
480, 3
485, 3
490, 3
495, 4
